,comment,like,time,title_list
0,I literally cried when faker said the fourth trophy is for my teammates. ,5.9K,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
1,sameeeeeee,72,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
2,Yup,17,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
3,yup,10,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
4, @ndnd7614 waiting for people to fail? that sounds pathetic,82,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
5,same bro ,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
6,SAMEEEEE,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
7,SAME  Especially with his smile and the 4 members entering with their smiles on too. ,38,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
8,tears,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
9,T1 ,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
10, @quanghuynguyen3499  nope I am anticipating them to fail since they failed 3 times in a row,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
11,"I was extremely touched when I heard Faker say that the fourth worlds trophy is for his teammates, which meant he really appreciated the journey they had got through and he wants to express his appreciation for hiss teammates by achieving the fourth trophy",1.2K,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
12,Also means he cherishes this particular squad and he feels like he owes them this worlds win.,37,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
13,"If you see, after they win. The first thing that faker does is to look at their teammates. While all of us were happy for him, he was happy for his friends.",52,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
14," @SirCuackL2  Its safe to say that for him, this worlds campaign, was for them",12,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
15,"Kinda true tho, all of the previous championship Faker won. He just want prove something now that even without the 4th trophy alot of people already acknowledge him as the GOAT. He grew up and matured and appreciate the 4th trophy with his teammates that has been with him through ups and down.",10,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
16,"In this season, story makers, script writers, video editors.. are just insane. All the teasers and the stories were masterpieces.",283,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
17,"I donno what changed, but these are truly next level teasers. I used to think the League esports teasers and trailers are never quite there compared to old OGN Brood War teasers/trailers. Worlds 2023 is the first time they really surpassed those old videos and by a lot.",6,1 day ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
18,"HUGE RESPECT FOR THE PEOPLE BEHIND THIS TEASER, ONE OF THE BEST I'VE EVER SEEN!",270,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
19,"""It is not LPL vs LCK, it is T1 versus the LPL, and they like those odds!"" gives me chills everytime",158,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
20,"same and ""its the king at home, Respect the name,Faker,the greatest of all time"" made me shiver",3,19 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
21,"Really, I repeat that part for 10 times over everyday",0,13 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
22,Ruler. Goes. Down. Gumas. Just. Better!,0,2 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
23,"5:05 I love when Faker smiles at his teammates, and they come on heading to Faker. “The fourth trophy is for my teammates.” The line, the scene, and the bgm just give me goosebumps. I have been a fan of T1 for 9 yrs, and Faker has changed a lot. He was once alone on the throne, but now he has his teammates, a motivation to win. So proud of your growth, Faker! and I will always support T1",260,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
24,"love the hype, not to be a picky hater but if you gonna quote something plz dont be wrong lmao,  it's the fourth trophy not third",1,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
25,not third ,0,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
26,Fourth ,1,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
27,WELCOME TO THE WORLDS 2023 FINALS! Who will win it all?,1.9K,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
28,T1 ! ! !,129,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
29,NRG,125,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
30,T1,24,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
31,WBG,16,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
32,TSM,79,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
33,WBG ALL THE WAY,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
34,T1,16,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
35,T1 and that's it,14,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
36,TAKE MY ENERGY WBG,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
37,T1 WILL WIN IT ALL!! ,11,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
38,"This part 5:05 is just straight up goosebumps.The contrast between him being sad and distraught because of losing in the past to him now smiling because he decided to Play God once more and they did crumble one by one (BLG, LNG, JDG, WBG)",104,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
39,"""El tercer trofeo, era para mi... el cuarto trofeo, es por mis compañeros."" SPTM Juro que solte una lagrima, vamos T1, Vamos Keria, Guma, Oner, Zeus y Dios Faker traigan esta 4ta a casa!!",324,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
40,Faker se está sacando las mejores lirics este año,16,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
41,"Ya la trajeron, ganaron Easy gg",2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
42, @tideon6547  jajajajajaj,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
43,No suelto lagrimas por nada y este faker me hace llorar. Como se siente todo desde que faker vio a Keria llorar en la anterior final a como Faker ve contento a Keria y a sus compañeros luego de ganar esta final. Como el disfruta de ver a ellos coronandose,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
44,5:00 Pero no entiendo porque dicen que podría ser él último año que jueguen juntos?,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
45," @chococat-nim  porque se le acabo el contrato a keria guma, y zeus. Que renueven no se sabe, se vera que haran estos dias xD Faker aun le queda 2 años y Oner le queda 1 año de contrato",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
46,Ya ganamos. El sueño de Faker se hizo realidad 🥹,0,12 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
47, @Alexander-OConnell_ Keria y Zeus ya renovaron ,1,12 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
48,"""세 번째 우승은 나 자신을 위한 것"" = 솔로 캐리의 종말의 시작점""네 번째 우승은 팀원을 위한 것"" = 팀 위주 플레이 스타일의 결실",348,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
49,"개지린다. 롤이 이토록 심오한 메타포를 지닌 게임이었다니. 내 인생에서 가장 후회하는 두 가지 중 하나는 내가 롤에 너무 늦게 빠져들었다는 것이다. 나는 롤을 인류의 후손에게 반드시 물려주어야할 최고의 정신적 문화유산 중에 하나라고 굳게 믿는다. 롤은 그 정도의 평가가 아깝지 않은, 정말 말도 안되는 전설적인 게임임이 분명하다. 그 게임의 외재적 요소를 장식하는 전설적인 선수들이 그것을 자증한다.",28,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
50,근데 실제로 16년도까진 페이커가 솔로 캐리형 선수였고 17년도까지도 그랬는데 그때는 솔로 캐리로는 우승할 수 없는 환경이 됨그 뒤로 쭉 죽쑤다가 팀플레이의 정점에 이른 작년이랑 올해에 드디어 다시 결승에 오르게 됨,44,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
51, @l_1_1  18년도 딱 1년 부진 했지 뭘 쭉 죽쒔냐 월즈 못간 20년도에도 우승 한번 했구만 ㅋㅋㅋㅋ 그렇게 따지면 쵸비 같은 애들은 프로 때려쳐야겠네 88848이니까,4,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
52,Opposite of league solo queue why can't players be like faker unselfish and willing to give up that solo carry role for the win,1,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
53,매번 악역만 되다가 온 국민들의 응원을 받아본건 티원팬으로서 너무 값진 경험이었습니다. 감사합니다 잊지않을게요,152,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
54,와 보는데 눈물이 주륵주륵 난다..양팀 모두 이길 자격은 충분하다고 생각해요 T1 WBG 두팀 모두 화이팅 하시길 바랍니다,123,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
55,웨어강 웨어강 웨어강 웨어강 웨어강,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
56,그거 늙어서 그런거,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
57,Faker: The third trophy was for myself. The fourth trophy... is for my teammates.This f*** line just hits hard on how Faker has grown. I'll literally cry either if they win or lose.,2.2K,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
58,"15 years later:""The 11th trophy was for my aunt, the 12th is for my barber""",379,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
59, @angulinhiduje6093   BRO ,18,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
60, @angulinhiduje6093  Give me back my emotion,72,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
61," @angulinhiduje6093  holy sh** hahahahhaha, how to ruin a moment in miliseconds",15,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
62,"The teaser is really nice ngl, very nice narrative",2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
63," @angulinhiduje6093 considering Faker has a military exception, it can happen in the near future",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
64,,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
65,"faker: I never played for Bang, Wolf",11,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
66, @angulinhiduje6093 ahaha,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
