,comment,like,time,title_list
0,"세바시 HR 특집 강연회3 참여신청  https://bit.ly/sebasiHR3[책이벤트] 박재연 소장의 세바시 강연 소감을 댓글로 남겨주시면, 10분을 추첨해  세바시 강연자가 직접 싸인한 책을 선물로 보내드립니다 (기간 : 11월 21일-27일 / 당첨발표 :11월 28일)오타수정) 0:12 희안하게 ► 희한하게 입니다!",19,3 days ago (edited),[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
1,직장 생활을 곧 시작하는 딸과 함께 소장님의 귀한 강연 잘 들었습니다건강한 혼잣말!!  공감합니다,3,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
2,내가 소중한것처럼 타인도 소중하게 생각하고 대화의핵심 의미를 정확하게 파학하고 나도 아이메세지로 내마음을 잘 전달 될 수있도록  건강한 혼자말을 연습해서  대화하도록 실천하겠습니다ㆍ박재연소장님 명쾌한강의 들을수있어서 감사합니다~~,1,10 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
3,박재연소장님  시원한강의가 넘 좋습니다 ᆢ속이 뻥뜷립니다ᆢ,2,19 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
4,너무 좋은 댓글에 속이 뻥 뚫립니다,0,18 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
5,"육아휴직 중인데 남편, 아이의 말에 상처를 받고 울컥할 때가 많았어요 상대의 말 속에 있는 욕구를 들어야겠네요 좋은 강의 감사합니다 좋은 일상 만들어나가는데 도움이 되었어요",4,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
6,"남편과 4명의 자녀들에게  받은  스트레스를  꾹꾹  누르다가  결국  터뜨리고  저녁밥  알아서 먹으라고 하고는  나와  버렸어요..카페에서 차 마시면서 핸드폰을 보다가 소장님의 강연  제목이 눈에  띄어 들었습니다.내가 소중한 것처럼 타인도 소중하다는것,상대방의 말의 의미를 잘 해석하라는 것, 비난대신 원하는  걸  이야기하라는것..이 중에 한가지만이라도 실천했다면 서로 이렇게까지  힘들진 않았을텐데..하는 생각이 듭니다..근데 힘든 상황을 마주했을때 평소 혼자말을 그리고 상대에게 어떻게 말해야  하는지  머릿속이 하얘져서 생각이 잘  안나더라구요..의지적인  연습이 필요할것  같은데 누가 옆에서  이런 상황에서는 이렇게 저렇게 해보라고  가르쳐줬으면 좋겠습니다. 26살에 결혼해서 4명의 자녀를 낳고 어느정도 키워놓으니 40대 초반이 되었는데 소장님 말씀대로 사회적으로 생산성이 보이지 않으니 침체가 되어서 지금이라도 뭔가 생산적이고  기여하는 일을 하고 싶어 찾고 있는데 한번도 내가 좋아하고  원하는걸 해본   경험이  없으니  쉽지가 않고  이렇게 늙어  가는게  불안하고 초조해지니 가까운 가족들에게 여유로운  마음으로 대하기가 더 어려운것  같습니다..",9,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
7,강연장에서 직접 들었는데 또 들어도 좋은 강연이네요~~ 또 한번 마음속에 담습니다,2,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
8,"근황을 소개하며 아이스브레이킹, 강연 주제를 풀어가며, 이어서 말을 잘하는 사람과 못하는 사람의 차이를 언급하면서 화자가 원하는 올바른 의사소통 방향성이 내제된 메시지를 전달..빌드업 개쩐다... 강연을 준비하시는 분들이 참고하셨으면 하는 완벽한 강연입니다",5,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
9,"박재연 소장님 강의 너무 좋았습니다. 이 영상 보고 팬 되었어요 . 사람들과의 관계 속에서 나도 그동안 비난이나 비교나 강요나 당연시나 합리화에 많이 길들여있었구나,, 너무나 반성하게 되는 내용이었어요~",4,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
10,박재연소장님 감사해요 건강한 혼잣말 오늘 하루 또 배우고 가네요 기분이 좋지 않았던 아침과 오늘 하루는 건강하지 못한 혼잣말로 시작되었는데 건강한 혼잣말을 연습해야겠어요 생각이 곧 내가 되기도 하고 나의 자존감을 스스로 생각하고 만들어가야겠다는 생각을 하게 되네요 ,0,15 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
11,"일과 육아를병행하는 엄마로서 직장에서의 대화뿐아니라 가정에서의 대화법까지도 배웠다는생각이듭니다박재연소장님의 강의는 예전부터많이들어왔었는데 항상 뻔한스토리가아닌 와, 저렇게도생각할수있구나 하는 좋은말들이많아서 많이와닿습니다아이와의 대화에서도 비난하거나 당연시되는 부분, 아이를 평가하게되는 언어를 많이사용하게되고",2,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
12,박재연 소장님 감사합니다.소통이 정말 어렵습니다.특히 부부간 대화가 그렇습니다.부부간에는 남보다도 더 서로가 공격하는 것 같습니다.,0,13 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
13,"박재연 소장님! 직장에서 상사랑 상담같지 않는 상담을 40분 하고 벽과 이야기하는 기분이 들었어요. 상담의 주된 내용-> 연장자가 참아라, MZ세대들은 네가 이해해라 중간관리자니가 참아라. 참아라.. 나는 어떻겠냐. 나도 전체를 관리하는게 힘들다.. 어쩌고 저쩌고… 저도 건강한 혼자말을 하고 싶은데 쉽지가 않았지만 박재연소장님 영상보고 저를 돌아보게되었습니다. 감사합니다",1,1 day ago (edited),[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
14,"박재연 소장님의 강의를 들으면, 제 언어습관도 되돌아보고 사람을 살리는 말을 써야겠구나 라고 배우는 시간을 가져서 좋습니다. 어려운 상황에서도 '분명 방법이 있을거야' 라는 말을 하시는 분을 뵈었는데, 문득 박재연 소장님의 강연 얘기가 많이 떠올랐습니다.  좋은 강의 감사합니다 : )",2,22 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
15,"출근하면서 잘 들었어요 저는 워킹맘인데 최근 저에게 상사, 거래처 직원이 일 때문에 저에게 화를 내서 힘들었어요 제가 잘못한 일이면 사과할 수 있는데 제 탓이 아닌데 저를 비난하셔서 당황하고 며칠간 속앓이를  한적이 있었어요  저는 상대방에게 할 말을 못해서 속앓이를 하는 편인데 혼잣말로 연습을 많이 해야겠네요 제가 그 위치에 갔을때도 조망능력을 갖고 후배들과 상사들을 잘 연결하는 정신을 잘 차린 사람이 되고싶어요 연습만이 살 길이네요 감사합니다^^",3,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
16,삶의 질을 향상 시킬 수 있는 진정한 방법을 알려 주시네요. 정말 감사드립니다.,2,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
17,왜곡된 혼잣말의 습관.상대방은 내 말을 들어주는 사람??비난이 아니라 원하는 것을 구체적으로 말할 수 있는 능력...늘 마음에 품고 노력해 괜찮은 중년이 무르익기를 기대해 봅니다,0,17 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
18,오늘 하루를 마무리하기에 좋은 내용 좋은 말 잘 듣고 갑니다. ,1,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
19,강의 잘들었습니다 저도 대화가 좀 부족하다고 느껴서 집중해서 듣게되네요 저도 좋은 상사가 되고싶어요~,2,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
20,특히 직장 내에서는 감정과 일을 분리하는게 중요한 것 같아요.,2,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
21,"행복한 사람의 말버릇이라는 소장님의 영상을 자주 보며 많이 배웠어요. 말이 가진 힘은 살면서 늘 실감하게 되는 것 같아요. 내가 뱉은 말이 누군가에게는 응원이 되기도 하고 상처가 되기도 하니까요~ 소장님 말씀대로 내말이 상대방의 기분을 망치지 않게 신중해야 겠습니다. 제대로 된 혼잣말, 명심할게요~",0,8 hours ago (edited),[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
22,이런 멋진 가르침이 있음에도 세상 사람들은 여전히 고통의 바다에... 안타깝고 슬퍼요,1,23 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
23,"박재연 소장님, 정말 반갑습니다. 통찰력있는 강의 잘 들었습니다. 최근에 회사에서 제가 생각하고 있었던 부정정인 감정들이, 사실은 '나'를 먼저 돌아보지 않았구나, 라는 생각이 들어 부끄럽게 느껴졌습니다. 새로운 전환점이 될 것 같습니다. 정말 감사합니다. 상대방이 제 말을 왜 들어주지 않을까, 매일 그 고통을 안고 퇴근을 해왔는데 이제는 다르게 생각할 수 있겠습니다. 소장님의 조언과 더불어, 제 나름대로의 방향성을 만들어가는 삶을 살아보렵니다 !",1,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
