,comment,like,time,title_list
0,무한자금성 맛집 알려주는 시민분도 그렇고 사장님도 그렇고뭔가 두분다 선한 느낌이라서 힐링이야...,2.5K,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
1,매력..,17,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
2,저집 맛없던데..,8,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
3,+ 맛있게 먹는 풍자님의 얼굴 넘 귀여워서 힐링,9,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
4,ㅠㅠ그니까요 가격부터 진짜 돈벌려고하는가격이아니에요 ㅠㅠ 착한마음으로 하시는거같음..,67,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
5, @user-yi5xt6qp3h 맛이 좀 딸려도 가격 자체가 너무 씹 호감임,34,4 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
6, @user-yi5xt6qp3h 솔까 짜장면 짬뽕 탕수육 깐풍기 맛없어봤자 얼마나 맛없겠음;; 근데 저 가격으로 뷔페식으로 먹고싶은 만큼 다 먹을 수 있다? 완전 혜자임,56,4 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
7, @user-yn6se1mr8i 이거ㄹㅇ 집에서 짬뽕분말로 해먹어도 맛있는게 짬뽕인데,3,4 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
8,맛은 그다지 없음..그냥저냥ㅎㅎ,2,4 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
9,제모지상주의 1화박형식:으악!재발날그만좀게롭혀!!일진들:더러운녀석!너가왁싱할때까지,1,3 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
10,무한자금성 요즘 같은 시대에 11500원 정도에 저정도 라인업을 먹을 수 있는건 대단하네요 언젠가 주변 갈 일 있으면 가보고 싶은 집 같습니다 추천해주신 분도 말씀을 되게 조근조근하게 해주셔서 식당과 함께 되게 호감상이신듯,1.9K,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
11,촬영일 기준 그전날에 올렸으면 45년동안  9900원에 진짜 장사 어떻게 유지 하신거지? 대단하신듯..,113,6 days ago (edited),🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
12,저기 돈으로 혼쭐 내줘야한다 진짜 어케,45,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
13,ㅋ,0,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
14,여기 다른건 그냥그랫는데 탕수육이 맛있었음... 이가격 뷔페인데 이런맛이라고...?이럼,15,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
15,밥값 만원 넘는데는 비싼거임ㅠ 저렴하게 내려줘라 사장들아,5,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
