,comment,like,time,title_list
0,Most people I asked predicted the wrong winner here. Go check out the new CrunchLabs Roblox game where you can build rockets with your friends and learn stuff! https://www.roblox.com/BuildaRocket,4.8K,7 days ago (edited),염산 VS 용암 녹이기 대결
1,can i win,29,7 days ago,염산 VS 용암 녹이기 대결
2,Hi,13,7 days ago,염산 VS 용암 녹이기 대결
3,am I cool,17,7 days ago,염산 VS 용암 녹이기 대결
4,"I regret this comment, sorry",28,7 days ago (edited),염산 VS 용암 녹이기 대결
5,Ok,8,7 days ago,염산 VS 용암 녹이기 대결
6,sheesh,3,7 days ago,염산 VS 용암 녹이기 대결
7,I'm no rocket scientist but I guess I'll try.,15,7 days ago,염산 VS 용암 녹이기 대결
8,Hi mark!,6,7 days ago,염산 VS 용암 녹이기 대결
9,"What does crow for idle play Roblox my parents to know what me and I don’t know how to play Roblox, so talk to you show me a ticket into Mark Rober play box where I can do all the fun creations",3,7 days ago,염산 VS 용암 녹이기 대결
10,yooooo,1,7 days ago,염산 VS 용암 녹이기 대결
11,I still can’t believe you can do all that to a diamond! I never would have guessed how tough they are..I’m still too scared to try it myself though ,8.2K,7 days ago,염산 VS 용암 녹이기 대결
12,How is there not a comment here,72,7 days ago,염산 VS 용암 녹이기 대결
13,⁠ @Epicly2 cause he posted it 2min ago,108,7 days ago,염산 VS 용암 녹이기 대결
14,hi,8,7 days ago,염산 VS 용암 녹이기 대결
15,nice comment lil bro,5,7 days ago,염산 VS 용암 녹이기 대결
16,Your my favorite youtuber,9,7 days ago,염산 VS 용암 녹이기 대결
17,你是内内个内内,5,7 days ago,염산 VS 용암 녹이기 대결
18,"Also, I think lava looks way better",10,7 days ago,염산 VS 용암 녹이기 대결
19,But you have a spare diamond now Kevin!!,827,7 days ago,염산 VS 용암 녹이기 대결
20,3 minutes ago,4,7 days ago,염산 VS 용암 녹이기 대결
21,Yea that’s kinda cool,2,7 days ago,염산 VS 용암 녹이기 대결
22,"What a thrill ride this video has been, Mark! The breakdown of the experiments was fascinating and your humor really added to the experience. A very innovative and exciting way of presenting science! Looking forward to the next showdown at CrunchLabs. ",1.7K,4 days ago,염산 VS 용암 녹이기 대결
23,1.4K Likes and no replies? Let me fix that.,2,3 days ago,염산 VS 용암 녹이기 대결
24,Ight bro don’t glaze,5,3 days ago,염산 VS 용암 녹이기 대결
25,Quit yapping lil bro,2,3 days ago,염산 VS 용암 녹이기 대결
26,He’s not gonna let you hit bro,2,3 days ago,염산 VS 용암 녹이기 대결
27,Bro doing tricks on it,2,3 days ago,염산 VS 용암 녹이기 대결
28,Zip em up when your done lil buddy,2,3 days ago,염산 VS 용암 녹이기 대결
29,am I insane or are these people above me insane,1,2 days ago,염산 VS 용암 녹이기 대결
30,BOT,0,20 hours ago,염산 VS 용암 녹이기 대결
31,I love how mark genuinely loves to work with all these other YouTubers without any kind of competitive attitude towards anyone and supporting everyone while doing so,661,5 days ago,염산 VS 용암 녹이기 대결
32,Only on screen,8,4 days ago,염산 VS 용암 녹이기 대결
33,Joined two months ago seems like someone comments it for him,3,4 days ago,염산 VS 용암 녹이기 대결
34, @LinkZeeGee ,0,3 days ago,염산 VS 용암 녹이기 대결
35, @LinkZeeGee definitely not only on screen. They’ve all had a relationship for at least a year or two.,3,3 days ago,염산 VS 용암 녹이기 대결
36, @chadlipscomb  It's a joke my boy,0,3 days ago,염산 VS 용암 녹이기 대결
37, @LinkZeeGee  Jokes are supposed to be funny,5,2 days ago,염산 VS 용암 녹이기 대결
38, @Twilight053  thank you,0,2 days ago,염산 VS 용암 녹이기 대결
39,Is this a bot comment? Who talks like that,2,20 hours ago,염산 VS 용암 녹이기 대결
40,Two videos in a few days. What a treat! Thank you to Mark and to the whole entire team. I'm sure there are a lot of people who help make these happen. Happy Thanksgiving!,17,22 hours ago,염산 VS 용암 녹이기 대결
41,"William showing up uninvited is just so ... William, its perfect. This was one of your best videos Mark. I love the glitter bombs and other pranks, those are goated, but as a big fan of engineering/science YT this held a special place in my heart seeing all my favorite creators that I already watch collab together. Fantastic stuff guys",285,5 days ago,염산 VS 용암 녹이기 대결
42,"Now this is peak big kid content. Makes me feel like I'm back on the playground. Thanks for this, Mark.",3,18 hours ago,염산 VS 용암 녹이기 대결
43,Used cars for sale - slightly acidified/melted/crushed but with GREAT history.,1.2K,6 days ago,염산 VS 용암 녹이기 대결
44,"No comment, let’s fix that!",7,6 days ago,염산 VS 용암 녹이기 대결
45,First reply!,4,6 days ago,염산 VS 용암 녹이기 대결
46,"""slightly crushed""",15,6 days ago,염산 VS 용암 녹이기 대결
47,ok,2,6 days ago,염산 VS 용암 녹이기 대결
48,Hey MakersMuse you should do  a video making at home retainers with 3D printer!,2,6 days ago,염산 VS 용암 녹이기 대결
49,it’ll buff out,0,1 day ago,염산 VS 용암 녹이기 대결
50,Should have let William get in on this more. He’s the only one with the courage to commit to a task at the expense of his own health.,156,5 days ago,염산 VS 용암 녹이기 대결
51,"Well Kevin already got 1st degree burns from the lava, what more could you want?",5,3 days ago,염산 VS 용암 녹이기 대결
52,Homie is too busy dropping eggs and calling it a science channel,2,2 days ago,염산 VS 용암 녹이기 대결
53,Honestly he's pretty one dimensional. Not entertaining. Should have had more Allen Pan though.,1,18 hours ago (edited),염산 VS 용암 녹이기 대결
54,I've been thinking for a month how cool it would be if Nigel did a video with Mark...and here it is! Y'all freakin' delivered!,123,5 days ago,염산 VS 용암 녹이기 대결
55,"I love the glitter bombs and other pranks, those are goated, but as a big fan of engineering/science YT this held a special place in my heart seeing all my favorite creators that I already watch collab together. Fantastic stuff guys.Used cars for sale - slightly acidified/melted/crushed but with GREAT history.",22,3 days ago,염산 VS 용암 녹이기 대결
56,"It's truly surprising to see the incredible resilience of diamonds! Who would have thought they could withstand all that? I'm fascinated by the durability, though I admit, I'm still a bit hesitant to experiment with it myself. The idea of testing the limits of something so precious is both intriguing and nerve-wracking at the same time! ",15,5 days ago,염산 VS 용암 녹이기 대결
57,in reality they cost so much because the industry HEAVILY limits the supply,3,1 day ago,염산 VS 용암 녹이기 대결
58,"I knew that acid was really, really corrosive. What I wasn't expecting is how lava can be so strong and fascinating at the same time. Great video!",10,3 days ago,염산 VS 용암 녹이기 대결
59,1:48 Mark’s hand wash detector is coming in handy!,5.7K,7 days ago,염산 VS 용암 녹이기 대결
60,This video will be #1 on Trending,38,7 days ago,염산 VS 용암 녹이기 대결
61,ふ,3,7 days ago,염산 VS 용암 녹이기 대결
62,LOL,2,7 days ago,염산 VS 용암 녹이기 대결
63,7th wait I have a brain what am I doing?,9,7 days ago,염산 VS 용암 녹이기 대결
64,Hi,1,7 days ago,염산 VS 용암 녹이기 대결
65,Hi,0,7 days ago,염산 VS 용암 녹이기 대결
66,Lol,4,7 days ago,염산 VS 용암 녹이기 대결
67,hi,0,7 days ago,염산 VS 용암 녹이기 대결
68,lol,0,7 days ago,염산 VS 용암 녹이기 대결
69,YES SIR!,0,7 days ago,염산 VS 용암 녹이기 대결
70,What a line up for a video. Mark Rober is easily one of my favorite content creators. I love the editing style and music choice :),42,3 days ago,염산 VS 용암 녹이기 대결
71,he literally just invited all the safety third members together to destroy stuff. how fitting.,54,3 days ago,염산 VS 용암 녹이기 대결
72,Way to go Mark! Thanks for managing our team so well!,8,3 days ago,염산 VS 용암 녹이기 대결
73,"I like how instead of specifically designing something to thrash the competition he just rented a steamrollerI've never been more surprised that Mark Rober, a person known for bringing a nuke to a gunfight, brought another nuke to another gunfight",29,5 days ago,염산 VS 용암 녹이기 대결
74,this episode is really starting to feel like a TV show - especially the car segment. I like it.,8,3 days ago,염산 VS 용암 녹이기 대결
75,"Nigel used a weaker acid solution because he knew they'd be keeping the cars they'd destroyed at the end, truly a mad genius",4.5K,7 days ago,염산 VS 용암 녹이기 대결
76,As is expected ,126,7 days ago,염산 VS 용암 녹이기 대결
77,Aqua Regia is one of the strongest acids in the world buddy. Its hydrochloric acid + nitric acid....Crazy strong,114,7 days ago,염산 VS 용암 녹이기 대결
78,That sucker has a long life ahead of it too,23,7 days ago,염산 VS 용암 녹이기 대결
79," @nuonchann5299 aqua regia is not even close to being the strongest acid in the world ""buddy"".",309,7 days ago,염산 VS 용암 녹이기 대결
80, @nekomimicatears  Which is why I said ONE of the strongest,25,7 days ago,염산 VS 용암 녹이기 대결
81, @nuonchann5299 woosh the joke just went over your head,64,7 days ago,염산 VS 용암 녹이기 대결
82, @nuonchann5299 хлорная сильнее,1,7 days ago,염산 VS 용암 녹이기 대결
83," @nuonchann5299  In this situation I assume you are implying that aqua regia is one of the most corrosive substances , however Aqua regia doesnt even come close to any superacids in corrosiveness and so simply isnt ""one of"" the most corrosive substances. Aqua regia has the potential to corrode certain metals however this doesnt necessarily make it a stronger acid than any other strong acid . In addition to this , there are many substances that are more corrosive across the spectrum. ",134,7 days ago,염산 VS 용암 녹이기 대결
84,Love the video. Explanation about the anvil. The 50lb harbor freight ones are made from cast iron that is quite soft. So soft you'll dish it out from regular use if you dont grind it flat often. I'd be interested to see what it would do against a hardened steel anvil,21,6 days ago,염산 VS 용암 녹이기 대결
85,"So what is the point of a ""quite soft"" anvil?",0,1 day ago,염산 VS 용암 녹이기 대결
86,"Learning about science can be fun in video games. So can using things you learned and then almost forgot. For example, I learned a few things about aerodynamics and balance when I was a kid trying to become a pilot, and then I made use of it all building space planes in Kerbal Space Program. PS for the diamond, you should've used an oxyfuel torch for your wildcard. Encasing it in lava sealed it off from oxygen, but diamonds will burn. You should've hit it with an oxidizing flame.",3,3 days ago (edited),염산 VS 용암 녹이기 대결
87,"I do not know why we all needed this video, but we definitely did. Thank you, Mr. Rober. For always providing premium content, even when we didn't know we wanted it.",2,4 days ago (edited),염산 VS 용암 녹이기 대결
88,"I love how you guys thought fire extinguishers would stop lava… Mark, never change, you’re the best",4,4 days ago,염산 VS 용암 녹이기 대결
89,Great way to show why tools that are used for heavy duty cutting are diamond tipped. ,2,3 days ago,염산 VS 용암 녹이기 대결
90,"Having Will, Nigel, and Kevin was great. Please continue to do stuff with them.",1.5K,7 days ago,염산 VS 용암 녹이기 대결
91,Bruĥ,0,7 days ago,염산 VS 용암 녹이기 대결
92,My farts are better than Mark’s farts ,4,7 days ago,염산 VS 용암 녹이기 대결
93,I’m stuff.,2,7 days ago,염산 VS 용암 녹이기 대결
94,wulzy,1,7 days ago,염산 VS 용암 녹이기 대결
95, @teslacactus1135  ii love gd cologne,1,7 days ago,염산 VS 용암 녹이기 대결
96,the ref shouldnt have came,0,7 days ago,염산 VS 용암 녹이기 대결
97,The Science Boys always make everything they're in better...,1,6 days ago,염산 VS 용암 녹이기 대결
98, @p-__  wth did i just witness,0,6 days ago,염산 VS 용암 녹이기 대결
99,"Every video he has a plot twist, Which is what makes his videos entertaining! Keep up the great work Mark!",10,5 days ago,염산 VS 용암 녹이기 대결
100,The real problem here is that Nigel didn’t pick the correct acids… He pick all the strong but still fairly safe acids. Had he put the safety “not last” this would have been a complete wipe imo.,2,5 days ago,염산 VS 용암 녹이기 대결
101,"Thing is a flame would be more effective than lava with the diamond. But the fact that lava didn’t just burn it, since its made of carbon, still surprised me",1,3 days ago,염산 VS 용암 녹이기 대결
