,comment,like,time,title_list
0,완패 뒤 난리 난 중국 현지 반응 --> https://youtu.be/PZvpDXhtbU8?si=9ZwJFWIoLeg8-Uft,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
1,제모지상주의 1화박형식:으악!재발날그만좀게롭혀!!일진들:더러운녀석!너가왁싱할때까지,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
2,옛날에 일본이랑 할때도 박지성 나오면 일본 국대들이 쳐다보곤 그랬는데..정말 손은 슈퍼스타네.,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
3,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
4,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
5,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
6,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
7,13년간 대한민국 축구를 지켜주고 매순간 최선을 다하는 손흥민 선수에게 찬사를 보냅니다.언제 국가대표를 은퇴하더라도 손흥민 선수는 칭찬받아야 마땅합니다.,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
8,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
9,공감입니다,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
10,제모지상주의 1화박형식:으악!재발날그만좀게롭혀!!일진들:더러운녀석!너가왁싱할때까지,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
11,정말 너무 고생하는 우리 손흥민 선수레전드로 남아 평생 기억 되었으면 좋겠습니다,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
12,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
13,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
14,동감입니다 ,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
15,"Eu amo essa música,essa batida 49:07 오빠놀러와11:43 Sensualidade em cada movimento 27:42 Que coisa........ 13:42 maravilhosa ver uma criança ",50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
16,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
17,중국에 대한 편견 없이 모든 축구팬들과 선수들에게 대하는 자세가 진정한 월클이네,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
18,제모지상주의 1화박형식:으악!재발날그만좀게롭혀!!일진들:더러운녀석!너가왁싱할때까지,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
19, @writerchodingOFFICIAL 근!하하하하하하,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
20,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
21,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
22,"자신을 비하하는 중국인들 발언들에 실력으로 보여주고,  끝난후엔 중국선수들 인간적으로 다가가고, 팬들에게는  마음으로 다가가는 선수..진정 승리가 뭔지 실력이 뭔지 진심이 뭔지 인성이 뭔지 보여주는 울 대한민국 캡틴 손흥민  손흥민선수가  사랑합니다.대한민국이란 글을 보고 뭉클했다... 대한민국 사랑합니다~^^",50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
23,한국네티즌들도 보고배워야함 악플좀 그만싸지르고 제발 겸손하길,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
24, @m855gt2   그러게요 허구허날 중국 까는 유투버 ㅋㅋ,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
25,그건 기자들하고 양국 팬들만 그래 선수들 끼리는 그런거 별루없어... 착각들 하지말어,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
26, @user-kc7wq4yi1v  경기중 우레이가 손흥민 세레머니에대해 팔뚝 잡고 당기며 따지는것못봤습니까? 같은선수끼리  동변상련이라 대부분 그렇지않지만  .가끔 그런선수들있음,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
27,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
28,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
29,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
30,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=서둘러요,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
31,이런게 품위다...참 대한민국 국민으로써 손흥민선수를비롯한 대한민국 대표 선수들이 너무자랑스럽고 멋있다... 실력과 인격을 모두 갖춘선수들 멋있다~,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
32,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=서둘러요,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
33,내가 최근까지 중국에서 유학하고 왔는데 손흥민하고 우레이 비교하면 지들이 먼저 발작함ㅋㅋㅋ,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
34,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
35,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
36,"경기 끝난 후 손흥민 선수와 한번씩 악수 및 포옹은 이제 상대팀에게 필수 코스가 된 듯.너무 멋진 대한민국 선수들, 매너와 인성에서도 완승입니다 !!!당신들 때문에 고단한 하루도 행복하게 이겨 냅니다. 감사합니다 !!!",50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
37,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
38,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라==,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
39,그대들때문에 내가 대한민국 국민이어서 너무 자랑스럽습니다.  우리 선수들 다치지 말고 행복한 축구하세요,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
40,덕분에,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
41,제발~정치인만 잘하면 됨,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
42,흥미니 때문에 거친덧도 자제됨,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
43,덕분에,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
44,숟가락 얹는거 보니 한국인스럽네 ㅋ,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
45,나는솔로 영식님 팬이에요~ ^^,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
46, @user-od4go1mx9z  이런국대경기 아님 어디에 숟가락 얹어야 하나요? 왜케 부정적;,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
47, @user-wg9ch3vg8n   여기서 그런 얘기 그만해라좀,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
48,정작 니는 아무것도 아닌데 뭐 자랑스러워할게 있냐 ㅋㅋ,50,10시간 전,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스'
